"Point ID";Latitude;Longitude;Elevation;Cartesian_X;Cartesian_Y;Cartesian_Z;Local_N;Local_E;Local_Z;"Ant_Hgt KI";"Ant_Hgt True";Dev_1;Dev_2;Solution;#SV;PDOP;HDOP;VDOP;Note;"PC DATE STAMP";"PC TIME STAMP";"GPS START TIME";"GPS END TIME"
164;"49 06 32,39759220";"23 04 31,42622700";620,505000;3848947,9541483;1639762,2778206;4798971,7984893;5432746,4500;1269121,0445;582,9316;" 2,0000 m";2,0940;0,013;0,017;FIXED;14;1,451;0,800;1,210;OD;04-04-2017;12:49:07;"Tue, 04 Apr 2017 12:49:20 ";"Tue, 04 Apr 2017 12:49:20 "
165;"49 06 32,39809560";"23 04 31,42725900";620,481000;3848947,9206738;1639762,2863121;4798971,7905274;5432746,4654;1269121,0655;582,9076;" 2,0000 m";2,0940;0,012;0,017;FIXED;14;1,448;0,800;1,207;SUSN;04-04-2017;12:49:26;"Tue, 04 Apr 2017 12:49:31 ";"Tue, 04 Apr 2017 12:49:31 "
166;"49 06 32,61417720";"23 04 31,14893400";621,139000;3848945,8866789;1639755,2835291;4798976,6581241;5432753,1723;1269115,4582;583,5649;" 2,0000 m";2,0940;0,012;0,017;FIXED;13;1,540;0,900;1,250;L04;04-04-2017;12:49:39;"Tue, 04 Apr 2017 12:49:56 ";"Tue, 04 Apr 2017 12:49:56 "
167;"49 06 32,75110260";"23 04 30,96077820";621,084000;3848944,4072593;1639750,5049832;4798979,3858138;5432757,4236;1269111,6660;583,5094;" 2,0000 m";2,0940;0,013;0,020;FIXED;14;1,443;0,800;1,201;R;04-04-2017;12:49:58;"Tue, 04 Apr 2017 12:50:31 ";"Tue, 04 Apr 2017 12:50:31 "
168;"49 06 32,99608320";"23 04 30,66743280";620,960000;3848941,4007405;1639742,75675;4798984,2467148;5432765,0250;1269105,7591;583,3847;" 2,0000 m";2,0940;0,012;0,017;FIXED;14;1,442;0,800;1,200;R;04-04-2017;12:50:33;"Tue, 04 Apr 2017 12:50:41 ";"Tue, 04 Apr 2017 12:50:41 "
169;"49 06 33,23498220";"23 04 30,34597980";621,090000;3848938,9012927;1639734,6048725;4798989,1766247;5432772,4417;1269099,2812;583,5139;" 2,0000 m";2,0940;0,012;0,017;FIXED;14;1,441;0,800;1,199;R;04-04-2017;12:50:43;"Tue, 04 Apr 2017 12:50:51 ";"Tue, 04 Apr 2017 12:50:51 "
170;"49 06 33,44826480";"23 04 30,05184000";621,751000;3848937,0549024;1639727,3334004;4798993,9898626;5432779,0639;1269093,3528;584,1742;" 2,0000 m";2,0940;0,014;0,021;FIXED;14;1,441;0,800;1,198;R;04-04-2017;12:50:53;"Tue, 04 Apr 2017 12:51:01 ";"Tue, 04 Apr 2017 12:51:01 "
171;"49 06 33,63529620";"23 04 29,76351600";622,151000;3848935,5691332;1639720,343794;4798998,0748723;5432784,8745;1269087,5378;584,5736;" 2,0000 m";2,0940;0,012;0,017;FIXED;13;1,566;0,900;1,281;R;04-04-2017;12:51:03;"Tue, 04 Apr 2017 12:51:11 ";"Tue, 04 Apr 2017 12:51:11 "
172;"49 06 33,76501500";"23 04 29,58706140";622,193000;3848934,2099062;1639715,8744731;4799000,7301246;5432788,9019;1269083,9816;584,6151;" 2,0000 m";2,0940;0,012;0,017;FIXED;14;1,438;0,800;1,195;R;04-04-2017;12:51:13;"Tue, 04 Apr 2017 12:51:20 ";"Tue, 04 Apr 2017 12:51:20 "
173;"49 06 33,73818780";"23 04 29,54628960";622,775000;3848935,4609649;1639715,508558;4799000,6275262;5432788,0778;1269083,1501;585,1971;" 2,0000 m";2,0940;0,013;0,018;FIXED;14;1,437;0,800;1,194;MEGOD;04-04-2017;12:51:22;"Tue, 04 Apr 2017 12:51:32 ";"Tue, 04 Apr 2017 12:51:32 "
174;"49 06 33,85875360";"23 04 29,26769760";623,184000;3848935,3313699;1639709,3112835;4799003,3751;5432791,8340;1269077,5209;585,6056;" 2,0000 m";2,0940;0,014;0,019;FIXED;13;1,648;1,000;1,310;VD;04-04-2017;12:51:35;"Tue, 04 Apr 2017 12:51:54 ";"Tue, 04 Apr 2017 12:51:54 "
175;"49 06 33,85723320";"23 04 29,26693500";623,150000;3848935,3496248;1639709,3022475;4799003,318648;5432791,7872;1269077,5052;585,5716;" 2,0000 m";2,0940;0,015;0,020;FIXED;13;1,647;1,000;1,309;OD;04-04-2017;12:51:56;"Tue, 04 Apr 2017 12:52:03 ";"Tue, 04 Apr 2017 12:52:03 "
176;"49 06 33,85805460";"23 04 29,26706400";623,148000;3848935,3297454;1639709,2966226;4799003,3337485;5432791,8125;1269077,5080;585,5696;" 2,0000 m";2,0940;0,028;0,033;FIXED;14;1,534;0,800;1,309;SUSN;04-04-2017;12:52:05;"Tue, 04 Apr 2017 12:52:10 ";"Tue, 04 Apr 2017 12:52:10 "
177;"49 06 33,80200200";"23 04 29,72589480";620,575000;3848931,3370728;1639717,7114274;4799000,2550245;5432790,0287;1269086,8037;582,9972;" 2,0000 m";2,0940;0,014;0,020;FIXED;14;1,532;0,800;1,306;R;04-04-2017;12:52:12;"Tue, 04 Apr 2017 12:52:32 ";"Tue, 04 Apr 2017 12:52:32 "
178;"49 06 33,70560960";"23 04 29,88916920";620,135000;3848931,8452996;1639721,5276239;4798997,9729118;5432787,0324;1269090,0983;582,5575;" 2,0000 m";2,0940;0,014;0,020;FIXED;14;1,431;0,800;1,187;R;04-04-2017;12:52:34;"Tue, 04 Apr 2017 12:52:38 ";"Tue, 04 Apr 2017 12:52:38 "
179;"49 06 33,45930660";"23 04 30,34312740";619,618000;3848933,2174344;1639732,1205344;4798992,6007161;5432779,3719;1269099,2623;582,0415;" 2,0000 m";2,0940;0,013;0,019;FIXED;14;1,431;0,800;1,187;R;04-04-2017;12:52:40;"Tue, 04 Apr 2017 12:52:47 ";"Tue, 04 Apr 2017 12:52:47 "
180;"49 06 33,20060340";"23 04 30,72391320";619,975000;3848935,9640353;1639741,6858006;4798987,6384337;5432771,3366;1269106,9401;582,3993;" 2,0000 m";2,0940;0,014;0,021;FIXED;14;1,430;0,800;1,185;R;04-04-2017;12:52:49;"Tue, 04 Apr 2017 12:52:56 ";"Tue, 04 Apr 2017 12:52:56 "
181;"49 06 32,92074360";"23 04 31,15732200";619,927000;3848938,5029481;1639752,3227898;4798981,9420961;5432762,6419;1269115,6815;582,3523;" 2,0000 m";2,0940;0,014;0,021;FIXED;14;1,428;0,800;1,183;R;04-04-2017;12:52:58;"Tue, 04 Apr 2017 12:53:05 ";"Tue, 04 Apr 2017 12:53:05 "
182;"49 06 33,12076080";"23 04 31,43045760";617,886000;3848930,804679;1639755,0649265;4798984,4444527;5432768,7898;1269121,2556;580,3112;" 2,0000 m";2,0940;0,014;0,020;FIXED;14;1,427;0,800;1,182;R;04-04-2017;12:53:07;"Tue, 04 Apr 2017 12:53:14 ";"Tue, 04 Apr 2017 12:53:14 "
183;"49 06 33,33694320";"23 04 31,08069840";617,642000;3848928,7931533;1639746,4968385;4798988,632195;5432775,5079;1269114,1996;580,0664;" 2,0000 m";2,0940;0,015;0,022;FIXED;12;1,638;1,000;1,297;R;04-04-2017;12:53:16;"Tue, 04 Apr 2017 12:53:24 ";"Tue, 04 Apr 2017 12:53:24 "
184;"49 06 33,60108300";"23 04 30,62153280";617,638000;3848926,7654338;1639735,5098015;4798993,971278;5432783,7200;1269104,9332;580,0615;" 2,0000 m";2,0940;0,013;0,017;FIXED;12;1,571;0,900;1,288;R;04-04-2017;12:53:26;"Tue, 04 Apr 2017 12:53:34 ";"Tue, 04 Apr 2017 12:53:34 "
185;"49 06 33,81322200";"23 04 30,29024940";617,809000;3848924,9437931;1639727,4299847;4798998,390956;5432790,3111;1269098,2512;580,2317;" 2,0000 m";2,0940;0,012;0,017;FIXED;13;1,483;0,900;1,179;R;04-04-2017;12:53:36;"Tue, 04 Apr 2017 12:53:46 ";"Tue, 04 Apr 2017 12:53:46 "
186;"49 06 33,94160040";"23 04 30,02647620";618,174000;3848924,502048;1639721,4264323;4799001,2632706;5432794,3070;1269092,9240;580,5962;" 2,0000 m";2,0940;0,015;0,025;FIXED;12;1,546;0,900;1,257;R;04-04-2017;12:53:48;"Tue, 04 Apr 2017 12:53:58 ";"Tue, 04 Apr 2017 12:53:58 "
187;"49 06 34,01094420";"23 04 29,93770140";618,171000;3848923,7159781;1639719,1343504;4799002,6634456;5432796,4593;1269091,1356;580,5930;" 2,0000 m";2,0940;0,018;0,023;FIXED;14;1,514;0,800;1,285;R;04-04-2017;12:54:00;"Tue, 04 Apr 2017 12:54:03 ";"Tue, 04 Apr 2017 12:54:03 "
188;"49 06 34,15287600";"23 04 30,19316340";616,378000;3848917,5556595;1639722,1420418;4799004,1785023;5432800,8149;1269096,3412;578,8000;" 2,0000 m";2,0940;0,014;0,020;FIXED;14;1,404;0,800;1,154;R;04-04-2017;12:54:05;"Tue, 04 Apr 2017 12:55:15 ";"Tue, 04 Apr 2017 12:55:15 "
VRSx_WEST_672;"49 06 34,00344036";"23 04 30,60876108";616,9130;3848917,7849281;1639731,4023139;4799001,5606848;;;;" 2,0000 m";2,0940;;;;;;;;"* Base *";04-04-2017;12:57:38;;
189;"49 06 33,97682340";"23 04 30,58201020";615,916000;3848917,9690696;1639730,8909908;4799000,2686772;5432795,3320;1269104,1968;578,3387;" 2,0000 m";2,0940;0,014;0,020;FIXED;14;1,403;0,800;1,153;R;04-04-2017;12:57:38;"Tue, 04 Apr 2017 12:57:33 ";"Tue, 04 Apr 2017 12:57:33 "
190;"49 06 33,76471620";"23 04 30,95658180";615,926000;3848919,5548991;1639739,8247134;4798995,9864762;5432788,7369;1269111,7566;578,3495;" 2,0000 m";2,0940;0,016;0,020;FIXED;14;1,403;0,800;1,152;R;04-04-2017;12:57:40;"Tue, 04 Apr 2017 12:57:47 ";"Tue, 04 Apr 2017 12:57:47 "
191;"49 06 33,56621520";"23 04 31,33046700";615,879000;3848920,8194793;1639748,6064613;4798991,9363594;5432782,5623;1269119,3049;578,3032;" 2,0000 m";2,0940;0,017;0,021;FIXED;14;1,402;0,800;1,151;R;04-04-2017;12:57:49;"Tue, 04 Apr 2017 12:57:56 ";"Tue, 04 Apr 2017 12:57:56 "
192;"49 06 33,39075600";"23 04 31,67983200";615,999000;3848921,8844464;1639756,7625907;4798988,4784935;5432777,1022;1269126,3599;578,4239;" 2,0000 m";2,0940;0,014;0,019;FIXED;14;1,401;0,800;1,150;R;04-04-2017;12:57:58;"Tue, 04 Apr 2017 12:58:05 ";"Tue, 04 Apr 2017 12:58:05 "
193;"49 06 33,51009480";"23 04 31,81013040";614,985000;3848917,6737213;1639757,8413734;4798990,1255226;5432780,7741;1269129,0231;577,4098;" 2,0000 m";2,0940;0,014;0,018;FIXED;14;1,400;0,800;1,149;R;04-04-2017;12:58:07;"Tue, 04 Apr 2017 12:58:16 ";"Tue, 04 Apr 2017 12:58:16 "
194;"49 06 33,69988440";"23 04 31,47381180";614,760000;3848916,1338901;1639749,7705742;4798993,7938351;5432786,6753;1269122,2352;577,1841;" 2,0000 m";2,0940;0,014;0,018;FIXED;14;1,399;0,800;1,148;R;04-04-2017;12:58:18;"Tue, 04 Apr 2017 12:58:25 ";"Tue, 04 Apr 2017 12:58:25 "
195;"49 06 33,88375080";"23 04 31,16888460";614,656000;3848914,5446301;1639742,3708146;4798997,4338208;5432792,3900;1269116,0829;577,0795;" 2,0000 m";2,0940;0,014;0,017;FIXED;14;1,398;0,800;1,147;R;04-04-2017;12:58:27;"Tue, 04 Apr 2017 12:58:33 ";"Tue, 04 Apr 2017 12:58:33 "
196;"49 06 34,07800860";"23 04 30,86227080";614,611000;3848912,7810147;1639734,8596051;4799001,3285648;5432798,4260;1269109,8982;577,0338;" 2,0000 m";2,0940;0,013;0,017;FIXED;14;1,398;0,800;1,146;R;04-04-2017;12:58:35;"Tue, 04 Apr 2017 12:58:42 ";"Tue, 04 Apr 2017 12:58:42 "
197;"49 06 34,27027560";"23 04 30,57332700";614,631000;3848910,9588341;1639727,7130267;4799005,2321793;5432804,3984;1269104,0715;577,0531;" 2,0000 m";2,0940;0,014;0,018;FIXED;14;1,397;0,800;1,145;R;04-04-2017;12:58:44;"Tue, 04 Apr 2017 12:58:50 ";"Tue, 04 Apr 2017 12:58:50 "
198;"49 06 34,48830720";"23 04 30,85918620";612,878000;3848902,945802;1639730,6015486;4799008,3165415;5432811,1014;1269109,9068;575,3000;" 2,0000 m";2,0940;0,013;0,017;FIXED;13;1,396;0,800;1,144;R;04-04-2017;12:58:53;"Tue, 04 Apr 2017 12:59:00 ";"Tue, 04 Apr 2017 12:59:00 "
199;"49 06 34,25496660";"23 04 31,19465400";612,927000;3848905,3222269;1639739,0099526;4799003,6344037;5432803,8548;1269116,6698;575,3498;" 2,0000 m";2,0940;0,015;0,018;FIXED;14;1,395;0,800;1,143;R;04-04-2017;12:59:02;"Tue, 04 Apr 2017 12:59:10 ";"Tue, 04 Apr 2017 12:59:10 "
200;"49 06 34,03531020";"23 04 31,50705180";613,194000;3848907,7192877;1639746,9185468;4798999,393815;5432797,0336;1269122,9674;575,6175;" 2,0000 m";2,0940;0,015;0,019;FIXED;14;1,394;0,800;1,142;R;04-04-2017;12:59:12;"Tue, 04 Apr 2017 12:59:19 ";"Tue, 04 Apr 2017 12:59:19 "
201;"49 06 33,82167060";"23 04 31,80872700";613,567000;3848910,1361269;1639754,5991847;4798995,355039;5432790,3995;1269129,0486;575,9912;" 2,0000 m";2,0940;0,013;0,018;FIXED;14;1,394;0,800;1,141;R;04-04-2017;12:59:21;"Tue, 04 Apr 2017 12:59:28 ";"Tue, 04 Apr 2017 12:59:28 "
202;"49 06 33,67235640";"23 04 32,05075440";613,920000;3848911,6329434;1639760,5728295;4798992,6020881;5432785,7594;1269133,9313;576,3448;" 2,0000 m";2,0940;0,013;0,017;FIXED;14;1,393;0,800;1,140;R;04-04-2017;12:59:30;"Tue, 04 Apr 2017 12:59:37 ";"Tue, 04 Apr 2017 12:59:37 "
203;"49 06 33,86604420";"23 04 32,13796380";612,557000;3848905,9570604;1639760,0774159;4798995,4889518;5432791,7329;1269135,7335;574,9815;" 2,0000 m";2,0940;0,013;0,016;FIXED;14;1,392;0,800;1,139;R;04-04-2017;12:59:39;"Tue, 04 Apr 2017 12:59:45 ";"Tue, 04 Apr 2017 12:59:45 "
204;"49 06 34,17397260";"23 04 31,68608400";611,873000;3848902,5210526;1639748,6510379;4799001,1995611;5432801,2969;1269126,6224;574,2964;" 2,0000 m";2,0940;0,012;0,016;FIXED;14;1,391;0,800;1,138;R;04-04-2017;12:59:47;"Tue, 04 Apr 2017 12:59:57 ";"Tue, 04 Apr 2017 12:59:57 "
205;"49 06 34,40023200";"23 04 31,37100540";611,666000;3848900,0395625;1639740,6473732;4799005,619045;5432808,3223;1269120,2716;574,0887;" 2,0000 m";2,0940;0,012;0,016;FIXED;14;1,390;0,800;1,137;R;04-04-2017;12:59:59;"Tue, 04 Apr 2017 13:00:07 ";"Tue, 04 Apr 2017 13:00:07 "
206;"49 06 34,61961900";"23 04 31,07747760";611,546000;3848897,5867928;1639733,1310871;4799009,9653015;5432815,1331;1269114,3566;573,9680;" 2,0000 m";2,0940;0,012;0,016;FIXED;14;1,389;0,800;1,136;R;04-04-2017;13:00:09;"Tue, 04 Apr 2017 13:00:16 ";"Tue, 04 Apr 2017 13:00:16 "
207;"49 06 34,83385740";"23 04 31,38057360";609,953000;3848889,614592;1639736,4169874;4799013,0938903;5432821,7169;1269120,5407;572,3749;" 2,0000 m";2,0940;0,013;0,017;FIXED;13;1,427;0,800;1,182;R;04-04-2017;13:00:18;"Tue, 04 Apr 2017 13:00:28 ";"Tue, 04 Apr 2017 13:00:28 "
208;"49 06 34,58646300";"23 04 31,69745880";609,872000;3848892,3624149;1639744,5739292;4799008,0292589;5432814,0383;1269126,9245;572,2946;" 2,0000 m";2,0940;0,013;0,017;FIXED;14;1,426;0,800;1,181;R;04-04-2017;13:00:30;"Tue, 04 Apr 2017 13:00:37 ";"Tue, 04 Apr 2017 13:00:37 "
209;"49 06 34,34995440";"23 04 32,01911580";610,144000;3848895,05097;1639752,8108433;4799003,4516346;5432806,6955;1269133,4070;572,5674;" 2,0000 m";2,0940;0,013;0,017;FIXED;14;1,387;0,800;1,133;R;04-04-2017;13:00:39;"Tue, 04 Apr 2017 13:00:47 ";"Tue, 04 Apr 2017 13:00:47 "
210;"49 06 34,13398980";"23 04 32,33890320";610,599000;3848897,4231514;1639760,8717718;4798999,4278357;5432799,9875;1269139,8551;573,0232;" 2,0000 m";2,0940;0,012;0,017;FIXED;11;1,574;1,000;1,216;R;04-04-2017;13:00:49;"Tue, 04 Apr 2017 13:00:57 ";"Tue, 04 Apr 2017 13:00:57 "
211;"49 06 34,12719360";"23 04 32,47896060";609,831000;3848895,9932338;1639763,350404;4798998,7098077;5432799,7617;1269142,6944;572,2553;" 2,0000 m";2,0940;0,012;0,016;FIXED;14;1,385;0,800;1,130;R;04-04-2017;13:00:59;"Tue, 04 Apr 2017 13:01:06 ";"Tue, 04 Apr 2017 13:01:06 "
212;"49 06 34,28971680";"23 04 32,27983200";609,749000;3848894,0347713;1639758,1258738;4799001,9347588;5432804,8050;1269138,6841;572,1728;" 2,0000 m";2,0940;0,078;0,152;FIXED;6;15,155;15,000;2,162;R;04-04-2017;13:01:08;"Tue, 04 Apr 2017 13:01:17 ";"Tue, 04 Apr 2017 13:01:17 "
213;"49 06 34,34152080";"23 04 32,32238520";608,498000;3848891,8299788;1639758,1247211;4799002,0367557;5432806,4005;1269139,5561;570,9217;" 2,0000 m";2,0940;0,170;0,332;FIXED;6;15,155;15,000;2,162;R;04-04-2017;13:01:20;"Tue, 04 Apr 2017 13:01:25 ";"Tue, 04 Apr 2017 13:01:25 "
214;"49 06 34,49346540";"23 04 32,08665480";608,160000;3848890,2356108;1639752,248364;4799004,8542298;5432811,1212;1269134,8016;570,5832;" 2,0000 m";2,0940;0,028;0,029;FIXED;12;1,548;0,900;1,259;R;04-04-2017;13:01:28;"Tue, 04 Apr 2017 13:01:35 ";"Tue, 04 Apr 2017 13:01:35 "
215;"49 06 34,49497200";"23 04 31,92134580";609,375000;3848892,2491207;1639749,4616503;4799005,8031949;5432811,1865;1269131,4493;571,7980;" 2,0000 m";2,0940;0,038;0,038;FIXED;13;1,492;0,900;1,190;R;04-04-2017;13:01:37;"Tue, 04 Apr 2017 13:01:43 ";"Tue, 04 Apr 2017 13:01:43 "
216;"49 06 34,66717560";"23 04 31,85925840";608,383000;3848888,4451599;1639746,4722166;4799008,5359923;5432816,5134;1269130,2199;570,8057;" 2,0000 m";2,0940;0,021;0,023;FIXED;12;1,491;0,900;1,189;R;04-04-2017;13:01:46;"Tue, 04 Apr 2017 13:01:53 ";"Tue, 04 Apr 2017 13:01:53 "
217;"49 06 34,74426360";"23 04 31,62658620";609,078000;3848889,0570078;1639741,6032154;4799010,6204437;5432818,9212;1269125,5145;571,5003;" 2,0000 m";2,0940;0,041;0,044;FIXED;11;1,962;1,100;1,625;R;04-04-2017;13:01:55;"Tue, 04 Apr 2017 13:02:02 ";"Tue, 04 Apr 2017 13:02:02 "
218;"49 06 34,83460920";"23 04 31,65855600";608,159000;3848886,3081537;1639741,1369511;4799011,7528955;5432821,7086;1269126,1786;570,5811;" 2,0000 m";2,0940;0,024;0,026;FIXED;13;1,490;0,900;1,187;R;04-04-2017;13:02:05;"Tue, 04 Apr 2017 13:02:10 ";"Tue, 04 Apr 2017 13:02:10 "
219;"49 06 34,79610660";"23 04 31,79842620";607,783000;3848885,7970888;1639744,0029036;4799010,6899625;5432820,5032;1269129,0086;570,2053;" 2,0000 m";2,0940;0,031;0,028;FIXED;13;1,495;0,800;1,263;R;04-04-2017;13:02:13;"Tue, 04 Apr 2017 13:02:18 ";"Tue, 04 Apr 2017 13:02:18 "
220;"49 06 34,92042420";"23 04 31,49509260";608,551000;3848885,9998122;1639737,4017558;4799013,7847865;5432824,3782;1269122,8783;570,9728;" 2,0000 m";2,0940;0,013;0,016;FIXED;12;1,549;0,900;1,261;R;04-04-2017;13:02:21;"Tue, 04 Apr 2017 13:02:27 ";"Tue, 04 Apr 2017 13:02:27 "
221;"49 06 35,00557620";"23 04 31,58416860";607,930000;3848883,0880429;1639738,1250896;4799015,0374761;5432826,9986;1269124,6995;570,3517;" 2,0000 m";2,0940;0,036;0,034;FIXED;11;1,535;1,000;1,165;R;04-04-2017;13:02:29;"Tue, 04 Apr 2017 13:02:32 ";"Tue, 04 Apr 2017 13:02:32 "
222;"49 06 35,05830060";"23 04 31,44500040";608,154000;3848883,1963989;1639735,1030525;4799016,2731282;5432828,6432;1269121,8863;570,5755;" 2,0000 m";2,0940;0,036;0,034;FIXED;12;1,633;1,000;1,291;R;04-04-2017;13:02:35;"Tue, 04 Apr 2017 13:02:39 ";"Tue, 04 Apr 2017 13:02:39 "
223;"49 06 34,95558540";"23 04 31,29253620";609,743000;3848887,5724274;1639733,606032;4799015,3970085;5432825,4874;1269118,7764;572,1645;" 2,0000 m";2,0940;0,036;0,035;FIXED;11;1,558;0,900;1,272;R;04-04-2017;13:02:42;"Tue, 04 Apr 2017 13:02:47 ";"Tue, 04 Apr 2017 13:02:47 "
224;"49 06 35,02436340";"23 04 31,26745680";609,371000;3848886,0699382;1639732,4130117;4799016,5067798;5432827,6150;1269118,2797;571,7924;" 2,0000 m";2,0940;0,032;0,028;FIXED;14;1,374;0,800;1,117;MEG;04-04-2017;13:02:50;"Tue, 04 Apr 2017 13:03:13 ";"Tue, 04 Apr 2017 13:03:13 "
225;"49 06 35,18815320";"23 04 31,09461720";608,975000;3848883,6861188;1639727,5868998;4799019,5199572;5432832,6945;1269114,8028;571,3959;" 2,0000 m";2,0940;0,022;0,029;FIXED;13;1,552;0,900;1,265;MEG;04-04-2017;13:03:16;"Tue, 04 Apr 2017 13:03:33 ";"Tue, 04 Apr 2017 13:03:33 "
VRSx_WEST_724;"49 06 33,79193964";"23 04 29,61768108";619,4481;3848931,734867;1639715,4951276;4798999,199626;;;;" 2,0000 m";2,0940;;;;;;;;"* Base *";04-04-2017;13:22:35;;
226;"49 06 33,85148520";"23 04 29,25235620";623,163000;3848935,5968558;1639709,0861561;4799003,212225;5432791,6113;1269077,2085;585,5846;" 2,0000 m";2,0940;0,014;0,016;FIXED;13;1,466;0,800;1,229;DOR;04-04-2017;13:22:35;"Tue, 04 Apr 2017 13:22:34 ";"Tue, 04 Apr 2017 13:22:34 "
227;"49 06 33,73233240";"23 04 29,51552760";622,819000;3848935,8578228;1639714,9994222;4799000,5423658;5432787,9004;1269082,5252;585,2411;" 2,0000 m";2,0940;0,017;0,018;FIXED;12;1,850;0,900;1,616;DOR;04-04-2017;13:22:37;"Tue, 04 Apr 2017 13:22:50 ";"Tue, 04 Apr 2017 13:22:50 "
228;"49 06 33,66168660";"23 04 29,44503180";622,794000;3848937,9211406;1639714,3242232;4798999,0946884;5432785,7260;1269081,0832;585,2162;" 2,0000 m";2,0940;0,019;0,020;FIXED;11;2,241;1,300;1,825;DOR;04-04-2017;13:22:52;"Tue, 04 Apr 2017 13:23:03 ";"Tue, 04 Apr 2017 13:23:03 "
229;"49 06 32,88941100";"23 04 30,25465260";623,298000;3848948,3823096;1639736,6305115;4798983,8567403;5432761,7766;1269097,3691;585,7225;" 2,0000 m";2,0940;0,013;0,016;FIXED;14;2,175;0,800;2,022;L04N;04-04-2017;13:23:05;"Tue, 04 Apr 2017 13:23:35 ";"Tue, 04 Apr 2017 13:23:35 "
230;"49 06 32,50890900";"23 04 31,08792120";619,720000;3848947,7790032;1639754,7445591;4798973,4564085;5432749,9272;1269114,2026;582,1460;" 2,0000 m";2,0940;0,016;0,021;FIXED;11;1,995;1,100;1,664;DOR;04-04-2017;13:23:37;"Tue, 04 Apr 2017 13:24:09 ";"Tue, 04 Apr 2017 13:24:09 "
231;"49 06 32,30596380";"23 04 31,53081480";619,475000;3848948,4711784;1639764,8039452;4798969,1666997;5432743,6075;1269123,1498;581,9019;" 2,0000 m";2,0940;0,019;0,027;FIXED;12;1,892;0,900;1,664;DOR;04-04-2017;13:24:11;"Tue, 04 Apr 2017 13:24:20 ";"Tue, 04 Apr 2017 13:24:20 "
232;"49 06 32,34162480";"23 04 32,05545360";619,587000;3848943,6016043;1639774,2961145;4798969,972599;5432744,6495;1269133,7961;582,0143;" 2,0000 m";2,0940;0,013;0,016;FIXED;14;1,441;0,800;1,198;L04N;04-04-2017;13:24:22;"Tue, 04 Apr 2017 13:24:54 ";"Tue, 04 Apr 2017 13:24:54 "
233;"49 06 33,86118900";"23 04 33,03235920";608,870000;3848896,7306447;1639775,8652866;4798992,6035299;5432791,4814;1269153,8717;571,2954;" 2,0000 m";2,0940;0,016;0,022;FIXED;12;1,830;0,900;1,593;DOR;04-04-2017;13:24:56;"Tue, 04 Apr 2017 13:25:45 ";"Tue, 04 Apr 2017 13:25:45 "
234;"49 06 33,91492620";"23 04 33,13382460";608,760000;3848894,703124;1639777,2384846;4798993,6071805;5432793,1299;1269155,9388;571,1854;" 2,0000 m";2,0940;0,018;0,024;FIXED;12;1,830;0,900;1,593;DOR;04-04-2017;13:25:47;"Tue, 04 Apr 2017 13:25:51 ";"Tue, 04 Apr 2017 13:25:51 "
235;"49 06 33,52433760";"23 04 33,58274460";609,833000;3848900,1729357;1639789,4661597;4798986,5188713;5432781,0128;1269164,9756;572,2596;" 2,0000 m";2,0940;0,044;0,037;FIXED;8;10,587;7,800;7,158;DOR;04-04-2017;13:25:54;"Tue, 04 Apr 2017 13:26:07 ";"Tue, 04 Apr 2017 13:26:07 "
236;"49 06 33,47356860";"23 04 33,50185260";609,910000;3848901,9532521;1639788,4412221;4798985,5503018;5432779,4536;1269163,3263;572,3366;" 2,0000 m";2,0940;0,013;0,015;FIXED;14;2,836;0,800;2,721;DOR;04-04-2017;13:26:10;"Tue, 04 Apr 2017 13:26:13 ";"Tue, 04 Apr 2017 13:26:13 "
237;"49 06 34,72189080";"23 04 32,22631860";607,172000;3848883,6221622;1639752,5099549;4799008,7271011;5432818,1619;1269137,6736;569,5949;" 2,0000 m";2,0940;0,030;0,036;FIXED;11;4,300;1,200;4,129;DOR;04-04-2017;13:26:15;"Tue, 04 Apr 2017 13:26:44 ";"Tue, 04 Apr 2017 13:26:44 "
238;"49 06 34,70074440";"23 04 32,09901900";607,193000;3848885,1011779;1639750,3335194;4799008,3153037;5432817,5231;1269135,0883;569,6158;" 2,0000 m";2,0940;0,013;0,016;FIXED;15;1,367;0,700;1,174;DOR;04-04-2017;13:26:47;"Tue, 04 Apr 2017 13:26:52 ";"Tue, 04 Apr 2017 13:26:52 "
239;"49 06 34,97278980";"23 04 32,03093160";606,954000;3848879,6531092;1639746,5113601;4799013,6365714;5432825,9350;1269133,7545;569,3762;" 2,0000 m";2,0940;0,013;0,017;FIXED;13;1,623;0,900;1,351;DOR;04-04-2017;13:26:54;"Tue, 04 Apr 2017 13:27:01 ";"Tue, 04 Apr 2017 13:27:01 "
240;"49 06 34,94985720";"23 04 31,85610480";607,049000;3848881,5928943;1639743,4834113;4799013,2445913;5432825,2464;1269130,2049;569,4711;" 2,0000 m";2,0940;0,014;0,017;FIXED;13;1,713;0,900;1,458;DOR;04-04-2017;13:27:03;"Tue, 04 Apr 2017 13:27:07 ";"Tue, 04 Apr 2017 13:27:07 "
241;"49 06 34,98768060";"23 04 32,07024180";606,986000;3848879,0399186;1639747,1167825;4799013,9619189;5432826,3905;1269134,5543;569,4083;" 2,0000 m";2,0940;0,015;0,018;FIXED;12;1,683;1,000;1,354;OD;04-04-2017;13:27:09;"Tue, 04 Apr 2017 13:27:18 ";"Tue, 04 Apr 2017 13:27:18 "
